"","pert_iname","mean","n","median","sd","sRGES"
"9024","rotenonic-acid",-0.000172074783511176,3,0.132656731360031,0.299602794441247,-0.000172074783511176
"9025","BRD-K03371390",-0.00011940036003024,7,0.0159852368546377,0.392808384630189,-0.00011940036003024
"9026","vidarabine",-0.00011153273013137,6,0.0967626086046167,0.314030889851278,-0.00011153273013137
"9027","L-741742",1.27625525886133e-05,4,-0.00629678489286176,0.54045909303894,1.27625525886133e-05
"9028","tramadol",3.88663124352286e-05,9,0.0298819883844301,0.428047540824017,3.88663124352286e-05
"9029","BRD-K60272788",4.56167262722906e-05,1,4.56167262722906e-05,NA,4.56167262722906e-05
"9030","SB-525334",6.67313076546842e-05,23,-0.0179235237641227,0.348691291434878,6.67313076546842e-05
"9031","BRD-K21009077",0.000114080717119519,2,0.000114080717119519,0.191464755308678,0.000114080717119519
"9032","diflorasone",0.000126129922395241,8,0.080896153738409,0.435175301741221,0.000126129922395241
"9033","cyclopenthiazide",0.000138454763131238,4,0.0115268417424292,0.356078858165991,0.000138454763131238
"9034","trifluridine",0.000153779529702905,5,0.113313369172732,0.426676235434116,0.000153779529702905
"9035","AQ-RA741",0.00025000237666338,4,-0.0168876608768382,0.340769957156072,0.00025000237666338
"9036","nalbuphine",0.000418155332309197,9,-0.172459945111381,0.347224756695356,0.000418155332309197
"9037","CGP-13501",0.000443424818432997,5,0.122342213631398,0.384627626566452,0.000443424818432997
"9038","caffeine",0.000470905919377111,9,-0.202882669710087,0.40623835270411,0.000470905919377111
"9039","BRD-K29390829",0.000511342137371307,1,0.000511342137371307,NA,0.000511342137371307
"9040","BRD-K30229575",0.000736383451812579,7,0.0974276549850127,0.26042848719639,0.000736383451812579
"9041","SA-1473468",0.000738563427195671,5,0.0675512894718813,0.280046894166531,0.000738563427195671
"9042","BRD-K06482871",0.00086151161940029,1,0.00086151161940029,NA,0.00086151161940029
"9043","BRD-K56634255",0.00103465199294334,1,0.00103465199294334,NA,0.00103465199294334
"9044","tiotidine",0.00110438485697192,3,0.0835174479468583,0.485094673729182,0.00110438485697192
"9045","BRD-K63350243",0.0011325583590666,5,-0.101386045343894,0.412939026429975,0.0011325583590666
"9046","BRD-K60539617",0.0012116811014293,1,0.0012116811014293,NA,0.0012116811014293
"9047","BRD-K10355322",0.00128364678709704,1,0.00128364678709704,NA,0.00128364678709704
"9048","BRD-K65003634",0.0013097285563973,1,0.0013097285563973,NA,0.0013097285563973
"9049","BRD-K18067885",0.00136925736834231,1,0.00136925736834231,NA,0.00136925736834231
"9050","BRD-K82492171",0.00141019953794434,3,0.137653649868589,0.352283707238312,0.00141019953794434
"9051","aminoindazole",0.00143984100958778,4,0.0906504002957953,0.321857250592871,0.00143984100958778
"9052","BRD-K70318404",0.00155290282634729,1,0.00155290282634729,NA,0.00155290282634729
"9053","Broad-Sai-370",0.00164327380902524,11,0.106511051348853,0.376091746532023,0.00164327380902524
"9054","BRD-K29528387",0.0016458912591463,1,0.0016458912591463,NA,0.0016458912591463
"9055","GGTI-2133",0.00167565284999673,3,-0.0750518250833403,0.313605289994205,0.00167565284999673
"9056","BRD-K98173387",0.00177162659381058,4,-0.0561871818449868,0.527191246147699,0.00177162659381058
"9057","BRD-K74447990",0.00188681371989267,4,-0.0361494708418352,0.191763786041055,0.00188681371989267
"9058","BRD-K79779816",0.00190317113482945,4,-0.0603044373476761,0.327856299987706,0.00190317113482945
"9059","BP-554",0.00190360076046088,6,0.131204265615584,0.347082530695721,0.00190360076046088
"9060","MPEP",0.00194151840978248,7,-0.00760015297198634,0.367935376900565,0.00194151840978248
"9061","BRD-K28180706",0.00203863082385769,4,0.0956813225111214,0.208913851762545,0.00203863082385769
"9062","BRD-K79481905",0.00231111858139338,1,0.00231111858139338,NA,0.00231111858139338
"9063","BRD-K27586026",0.0023427285283843,1,0.0023427285283843,NA,0.0023427285283843
"9064","BRD-K83151319",0.00243800843486506,8,0.192926889365479,0.418939979690536,0.00243800843486506
"9065","nafcillin",0.00243906826006402,4,0.100259788488655,0.400877977454219,0.00243906826006402
