"record_id","name","ensembl","biomarker_type","biomarker_direction","biomaker_name"
"BiomarkerKG-1070545292","CEA","ENSG00000105388","protein expression","positive","CEA protein expression positive"
"BiomarkerKG424191494","VEGF-A","ENSG00000112715","protein expression","positive","VEGF-A protein expression positive"
"BiomarkerKG424191494","Ang-2","ENSG00000091879","protein expression","positive","Ang-2 protein expression positive"
"BiomarkerKG424191494","Hif-1","ENSG00000168209","protein expression","positive","Hif-1 protein expression positive"
"BiomarkerKG424191494","high-sensitivity C-reactive protein","NA","protein expression","positive","high-sensitivity C-reactive protein protein expression positive"
"BiomarkerKG-1256644265","AKT","ENSG00000166971","mutation","positive","AKT mutation positive"
"BiomarkerKG-1535801388","CDK4","ENSG00000135446","protein expression","positive","CDK4 protein expression positive"
"BiomarkerKG-1535801388","CDK6","ENSG00000105810","protein expression","positive","CDK6 protein expression positive"
"BiomarkerKG-2145370017","ESR1","ENSG00000091831","protein expression","positive","ESR1 protein expression positive"
"BiomarkerKG-502295530","ESR1","ENSG00000091831","protein expression","negative","ESR1 protein expression negative"
"BiomarkerKG-502295530","PGR","ENSG00000082175","protein expression","negative","PGR protein expression negative"
"BiomarkerKG-502295530","ERBB2","ENSG00000141736","protein expression","negative","ERBB2 protein expression negative"
"BiomarkerKG-502295530","PD-L1","ENSG00000120217","protein expression","positive","PD-L1 protein expression positive"
"BiomarkerKG-1083866288","ESR1","ENSG00000091831","protein expression","negative","ESR1 protein expression negative"
"BiomarkerKG-1083866288","PGR","ENSG00000082175","protein expression","negative","PGR protein expression negative"
"BiomarkerKG-1083866288","ERBB2","ENSG00000141736","protein expression","negative","ERBB2 protein expression negative"
"BiomarkerKG-1083866288","PD-L1","ENSG00000120217","protein expression","positive","PD-L1 protein expression positive"
"BiomarkerKG1414704644","BRCA","ENSG00000012048","mutation","positive","BRCA mutation positive"
"BiomarkerKG2092098073","Ki-67","ENSG00000148773","protein expression","positive","Ki-67 protein expression positive"
"BiomarkerKG2092098073","p53","ENSG00000141510","protein expression","positive","p53 protein expression positive"
"BiomarkerKG2092098073","BCL-2","ENSG00000171791","protein expression","positive","BCL-2 protein expression positive"
"BiomarkerKG1828007033","EphB1","ENSG00000154928","protein expression","positive","EphB1 protein expression positive"
"BiomarkerKG1828007033","EphB2","ENSG00000133216","protein expression","positive","EphB2 protein expression positive"
"BiomarkerKG1828007033","EphB3","ENSG00000182580","protein expression","positive","EphB3 protein expression positive"
"BiomarkerKG1828007033","EphB4","ENSG00000196411","protein expression","positive","EphB4 protein expression positive"
"BiomarkerKG1828007033","EphB6","ENSG00000106123","protein expression","positive","EphB6 protein expression positive"
"BiomarkerKG-34819425","BRCA1","ENSG00000012048","gene mutation","positive","BRCA1 gene mutation positive"
"BiomarkerKG-34819425","BRCA2","ENSG00000139618","gene mutation","positive","BRCA2 gene mutation positive"
"BiomarkerKG-34819425","p53","ENSG00000141510","protein expression","positive","p53 protein expression positive"
"BiomarkerKG-34819425","p63","ENSG00000073282","protein expression","positive","p63 protein expression positive"
"BiomarkerKG-34819425","p73","ENSG00000078900","protein expression","positive","p73 protein expression positive"
"BiomarkerKG-1006830416","PIK3CA","ENSG00000121879","gene mutation","positive","PIK3CA gene mutation positive"
"BiomarkerKG2054558038","ESR1","ENSG00000091831","protein expression","positive","ESR1 protein expression positive"
"BiomarkerKG2054558038","PGR","ENSG00000082175","protein expression","positive","PGR protein expression positive"
"BiomarkerKG2054558038","ERBB2","ENSG00000141736","protein expression","positive","ERBB2 protein expression positive"
"BiomarkerKG-1921139321","ALDH1A3","ENSG00000184254","protein expression","positive","ALDH1A3 protein expression positive"
"BiomarkerKG-1921139321","CD44+/CD24-","NA","protein expression","positive","CD44+/CD24- protein expression positive"
"BiomarkerKG-1921139321","ITGA6","ENSG00000091409","protein expression","positive","ITGA6 protein expression positive"
"BiomarkerKG-1921139321","PROCR","ENSG00000101000","protein expression","positive","PROCR protein expression positive"
"BiomarkerKG1575293218","ER","ENSG00000091831","protein expression","positive","ER protein expression positive"
"BiomarkerKG1575293218","PR","ENSG00000134551","protein expression","positive","PR protein expression positive"
"BiomarkerKG1575293218","ERBB2","ENSG00000141736","protein expression","positive","ERBB2 protein expression positive"
"BiomarkerKG-460484177","Ki-67","ENSG00000148773","protein expression","positive","Ki-67 protein expression positive"
"BiomarkerKG-460484177","ERBB2","ENSG00000141736","protein expression","positive","ERBB2 protein expression positive"
"BiomarkerKG-460484177","H-MRS","NA","others","positive","H-MRS others positive"
"BiomarkerKG-62292183","uPA","ENSG00000122861","protein expression","positive","uPA protein expression positive"
"BiomarkerKG-62292183","uPAR","ENSG00000011422","protein expression","positive","uPAR protein expression positive"
"BiomarkerKG-62292183","PAI-1","ENSG00000106366","protein expression","positive","PAI-1 protein expression positive"
"BiomarkerKG-62292183","PAI-2","ENSG00000197632","protein expression","positive","PAI-2 protein expression positive"
"BiomarkerKG-184767054","ESR1","ENSG00000091831","protein expression","positive","ESR1 protein expression positive"
"BiomarkerKG-184767054","ERBB2","ENSG00000141736","protein expression","positive","ERBB2 protein expression positive"
"BiomarkerKG-1426230905","FOXM1","ENSG00000111206","protein expression","positive","FOXM1 protein expression positive"
"BiomarkerKG-151376875","IL-6","ENSG00000136244","protein expression","positive","IL-6 protein expression positive"
