"record_id","name","ensembl","biomarker_type","biomarker_direction","biomaker_name"
"BiomarkerKG594659457","HLA-B","ENSG00000234745","polymorphism","negative","HLA-B polymorphism negative"
"BiomarkerKG1498962895","ESR","ENSG00000091831","protein expression","positive","ESR protein expression positive"
"BiomarkerKG1498962895","ERBB2","ENSG00000141736","protein expression & amplification","negative","ERBB2 protein expression & amplification negative"
"BiomarkerKG-1064188334","EGFR","ENSG00000146648","mutation","positive","EGFR mutation positive"
"BiomarkerKG-1932775397","ALK","ENSG00000171094","protein expression","positive","ALK protein expression positive"
"BiomarkerKG-955586545","ESR","ENSG00000091831","protein expression","positive","ESR protein expression positive"
"BiomarkerKG-955586545","ERBB2","ENSG00000141736","protein expression & amplification","negative","ERBB2 protein expression & amplification negative"
"BiomarkerKG-955586545","PIK3CA","ENSG00000121879","mutation","positive","PIK3CA mutation positive"
"BiomarkerKG-1386474016","NAT2","ENSG00000156006","polymorphism","positive","NAT2 polymorphism positive"
"BiomarkerKG-1029442076","NAT2","ENSG00000156006","polymorphism","positive","NAT2 polymorphism positive"
"BiomarkerKG1233009142","CYP2D6","ENSG00000100197","polymorphism","positive","CYP2D6 polymorphism positive"
"BiomarkerKG979588562","CYP2D6","ENSG00000100197","polymorphism","positive","CYP2D6 polymorphism positive"
"BiomarkerKG2008815520","CYP2D7","ENSG00000205702","polymorphism","missing","CYP2D7 polymorphism missing"
"BiomarkerKG445115987","UGT1A1","ENSG00000241635","polymorphism","positive","UGT1A1 polymorphism positive"
"BiomarkerKG445115987","CYP2D6","ENSG00000100197","polymorphism","positive","CYP2D6 polymorphism positive"
"BiomarkerKG-493957746","CYP2D6","ENSG00000100197","polymorphism","positive","CYP2D6 polymorphism positive"
"BiomarkerKG1476585244","PML-RARA","ENSG00000133246","translocation","positive","PML-RARA translocation positive"
"BiomarkerKG-1745727063","G6PD","ENSG00000160211","protein expression","positive","G6PD protein expression positive"
"BiomarkerKG1850603683","CD274","ENSG00000120217","protein expression","positive","CD274 protein expression positive"
"BiomarkerKG875467658","CD274","ENSG00000120217","protein expression","positive","CD274 protein expression positive"
"BiomarkerKG875467658","Gene Signature
(T-effector)","NA","others","positive","Gene Signature
(T-effector) others positive"
"BiomarkerKG1616970176","CD274","ENSG00000120217","protein expression","positive","CD274 protein expression positive"
"BiomarkerKG1616970176","EGFR","ENSG00000146648","mutation","negative","EGFR mutation negative"
"BiomarkerKG1616970176","ALK","ENSG00000171094","mutation","negative","ALK mutation negative"
"BiomarkerKG-292801829","CYP2D6","ENSG00000100197","polymorphism","positive","CYP2D6 polymorphism positive"
"BiomarkerKG1600346418","G6PD","ENSG00000160211","polymorphism","negative","G6PD polymorphism negative"
"BiomarkerKG719702881","F2","ENSG00000180210","polymorphism","negative","F2 polymorphism negative"
"BiomarkerKG719702881","F5","ENSG00000198734","polymorphism","negative","F5 polymorphism negative"
"BiomarkerKG719702881","PROC","ENSG00000115718","polymorphism","negative","PROC polymorphism negative"
"BiomarkerKG719702881","PROS1","ENSG00000184500","polymorphism","negative","PROS1 polymorphism negative"
"BiomarkerKG719702881","SERPINC1","ENSG00000117601","polymorphism","negative","SERPINC1 polymorphism negative"
"BiomarkerKG719702881","CYP2C9","ENSG00000138109","polymorphism","negative","CYP2C9 polymorphism negative"
"BiomarkerKG-1188758294","CD274","ENSG00000120217","protein expression","positive","CD274 protein expression positive"
"BiomarkerKG1048595055","TPMT","ENSG00000137364","polymorphism","negative","TPMT polymorphism negative"
"BiomarkerKG1048595055","NUDT15","ENSG00000136159","polymorphism","negative","NUDT15 polymorphism negative"
"BiomarkerKG2059480590","UGT1A1","ENSG00000241635","polymorphism","negative","UGT1A1 polymorphism negative"
"BiomarkerKG736314554","BRAF","ENSG00000157764","mutation","positive","BRAF mutation positive"
"BiomarkerKG-378943012","IFNL3","ENSG00000197110","protein expression","positive","IFNL3 protein expression positive"
"BiomarkerKG-771556728","ALK","ENSG00000171094","mutation","negative","ALK mutation negative"
"BiomarkerKG1173989673","TNFRSF8","ENSG00000120949","protein expression","positive","TNFRSF8 protein expression positive"
"BiomarkerKG829815143","CYP2D6","ENSG00000100197","polymorphism","positive","CYP2D6 polymorphism positive"
"BiomarkerKG1437695799","ALK","ENSG00000171094","mutation","positive","ALK mutation positive"
"BiomarkerKG282615554","CYP2C19","ENSG00000165841","polymorphism","positive","CYP2C19 polymorphism positive"
"BiomarkerKG816316872","RET","ENSG00000165731","genetic others","positive","RET genetic others positive"
"BiomarkerKG1533469514","DPYD","ENSG00000188641","mutation","negative","DPYD mutation negative"
"BiomarkerKG205847830","HLA-B","ENSG00000234745","polymorphism","negative","HLA-B polymorphism negative"
"BiomarkerKG205847830","HLA-A","ENSG00000206503","polymorphism","negative","HLA-A polymorphism negative"
"BiomarkerKG541509081","NAGS","ENSG00000161653","protein expression","positive","NAGS protein expression positive"
"BiomarkerKG1069940068","CYP2D6","ENSG00000100197","polymorphism","positive","CYP2D6 polymorphism positive"
"BiomarkerKG1900108140","CYP2C19","ENSG00000165841","polymorphism","positive","CYP2C19 polymorphism positive"
"BiomarkerKG-1557071629","CYP2D6","ENSG00000100197","polymorphism","positive","CYP2D6 polymorphism positive"
"BiomarkerKG900270885","CYP2C9","ENSG00000138109","polymorphism","positive","CYP2C9 polymorphism positive"
"BiomarkerKG570155103","G6PD","ENSG00000160211","polymorphism","negative","G6PD polymorphism negative"
"BiomarkerKG-413895656","ALK","ENSG00000171094","mutation","positive","ALK mutation positive"
"BiomarkerKG-2121880163","TPP1","ENSG00000166340","mutation","positive","TPP1 mutation positive"
"BiomarkerKG1667727299","HBB","ENSG00000244734","mutation","positive","HBB mutation positive"
"BiomarkerKG-1229781644","RAS","ENSG00000133703","mutation","positve","RAS mutation positve"
"BiomarkerKG-210842937","IL2RA","ENSG00000134460","protein expression","positve","IL2RA protein expression positve"
"BiomarkerKG779147928","CYP2B6","ENSG00000197408","polymorphism","positve","CYP2B6 polymorphism positve"
"BiomarkerKG-1440571084","SLCO1B1","ENSG00000134538","protein expression","missing","SLCO1B1 protein expression missing"
"BiomarkerKG1184408474","CFTR","ENSG00000001626","mutation","positive","CFTR mutation positive"
"BiomarkerKG-1362059301","IDH2","ENSG00000182054","mutation","positive","IDH2 mutation positive"
"BiomarkerKG-1738472582","NECTIN4","ENSG00000143217","protein expression","missing","NECTIN4 protein expression missing"
"BiomarkerKG-622383070","NTRK","ENSG00000165300","gene fusion","positive","NTRK gene fusion positive"
"BiomarkerKG-239734061","FGFR","ENSG00000068078","mutation & gene fusion","positive","FGFR mutation & gene fusion positive"
"BiomarkerKG-1869766997","CYP2C19","ENSG00000165841","polymorphism","positive","CYP2C19 polymorphism positive"
"BiomarkerKG-978387120","SERPINC1","ENSG00000117601","protein overexpression","positive","SERPINC1 protein overexpression positive"
"BiomarkerKG-998821726","DMD","ENSG00000198947","mutation","positive","DMD mutation positive"
"BiomarkerKG363506879","DPYD","ENSG00000188641","mutation","positive","DPYD mutation positive"
"BiomarkerKG-23249570","FLT3","ENSG00000122025","mutation","positive","FLT3 mutation positive"
"BiomarkerKG1859447834","KIT","ENSG00000157404","mutation","negative","KIT mutation negative"
"BiomarkerKG1859447834","FIP1L1-PDGFRA","ENSG00000282278","gene fusion","positive","FIP1L1-PDGFRA gene fusion positive"
"BiomarkerKG1151651722","PDGFRB","ENSG00000113721","translocation","positive","PDGFRB translocation positive"
"BiomarkerKG-1147713356","FIP1L1-PDGFRA","ENSG00000282278","gene fusion","positive","FIP1L1-PDGFRA gene fusion positive"
"BiomarkerKG166414512","UGT1A1","ENSG00000241635","polymorphism","positive","UGT1A1 polymorphism positive"
"BiomarkerKG-539500812","TTR","ENSG00000118271","protein expression","positive","TTR protein expression positive"
"BiomarkerKG-848100356","HLA-A","ENSG00000206503","polymorphism","positive","HLA-A polymorphism positive"
"BiomarkerKG1476229835","CYB5R","ENSG00000100243","protein expression","positive","CYB5R protein expression positive"
"BiomarkerKG637500005","IDH1","ENSG00000138413","mutation","positive","IDH1 mutation positive"
"BiomarkerKG-726641820","HLA-DQA1","ENSG00000196735","polymorphism","positive","HLA-DQA1 polymorphism positive"
"BiomarkerKG496745715","HLA-DRB1","ENSG00000196126","polymorphism","positive","HLA-DRB1 polymorphism positive"
"BiomarkerKG453634129","NTRK","ENSG00000165300","gene fusion","positive","NTRK gene fusion positive"
"BiomarkerKG679917283","NPM1","ENSG00000181163","mutation","positive","NPM1 mutation positive"
"BiomarkerKG-49333377","KIT","ENSG00000157404","mutation","positive","KIT mutation positive"
"BiomarkerKG1030127933","GLA","ENSG00000242252","mutation","positive","GLA mutation positive"
"BiomarkerKG-280478680","BCHE","ENSG00000114200","polymorphism","positive","BCHE polymorphism positive"
"BiomarkerKG2104942858","HPRT1","ENSG00000165704","protein expression","positive","HPRT1 protein expression positive"
"BiomarkerKG-1086936591","SMN2","ENSG00000205571","protein expression","positive","SMN2 protein expression positive"
"BiomarkerKG-558455940","MS4A1","ENSG00000156738","protein expression","positive","MS4A1 protein expression positive"
"BiomarkerKG489011798","BRCA","ENSG00000012048","mutation","positive","BRCA mutation positive"
"BiomarkerKG1388758583","PDGFRA","ENSG00000134853","protein silencing","positive","PDGFRA protein silencing positive"
"BiomarkerKG1323391694","CASR","ENSG00000036828","mutation","positive","CASR mutation positive"
"BiomarkerKG794218917","IFNL3","ENSG00000197110","protein expression","positive","IFNL3 protein expression positive"
"BiomarkerKG-1790679122","CYP3A5","ENSG00000106258","protein expression","positive","CYP3A5 protein expression positive"
"BiomarkerKG149207443","CYP1A2","ENSG00000140505","protein expression","positive","CYP1A2 protein expression positive"
"BiomarkerKG-1053117702","IL12A","ENSG00000168811","mutation","positive","IL12A mutation positive"
"BiomarkerKG-1053117702","IL12B","ENSG00000113302","mutation","positive","IL12B mutation positive"
"BiomarkerKG-1053117702","IL23A","ENSG00000110944","mutation","positive","IL23A mutation positive"
"BiomarkerKG1944943287","POLG","ENSG00000140521","mutation","positive","POLG mutation positive"
"BiomarkerKG1127858044","TP53","ENSG00000141510","mutation","positive","TP53 mutation positive"
"BiomarkerKG-1962047831","IGH","ENSG00000116017","translocation","positive","IGH translocation positive"
"BiomarkerKG-357946721","VKORC1","ENSG00000167397","polymorphism","positive","VKORC1 polymorphism positive"
"BiomarkerKG2028368899","PROS1","ENSG00000184500","mutation","positive","PROS1 mutation positive"
"BiomarkerKG313586149","PROC","ENSG00000115718","mutation","positive","PROC mutation positive"
"BiomarkerKG-2104469395","ASS1","ENSG00000130707","mutation","positive","ASS1 mutation positive"
"BiomarkerKG-2104469395","CPS1","ENSG00000021826","mutation","positive","CPS1 mutation positive"
"BiomarkerKG-2104469395","OTC","ENSG00000036473","mutation","positive","OTC mutation positive"
"BiomarkerKG1499714249","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG1499714249","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG1499714249","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG1499714249","BRCA1","ENSG00000012048","Mutation","Positive","BRCA1 Mutation Positive"
"BiomarkerKG1499714249","BRCA2","ENSG00000139618","Mutation","Positive","BRCA2 Mutation Positive"
"BiomarkerKG1950850360","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG1950850360","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG1950850360","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG-1350934379","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-1350934379","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG-1350934379","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG1795800692","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG1795800692","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG1795800692","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG958553622","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG958553622","PGR","ENSG00000082175","Protein Expression","Positive","PGR Protein Expression Positive"
"BiomarkerKG544633209","BRCA1","ENSG00000012048","Mutation","Positive","BRCA1 Mutation Positive"
"BiomarkerKG544633209","BRCA2","ENSG00000139618","Mutation","Positive","BRCA2 Mutation Positive"
"BiomarkerKG544633209","ATM","ENSG00000149311","Mutation","Positive","ATM Mutation Positive"
"BiomarkerKG-1363681835","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-1363681835","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG-1363681835","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG-1669987101","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-1669987101","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG-1669987101","PGR","ENSG00000082175","Protein Expression","Positive","PGR Protein Expression Positive"
"BiomarkerKG2133471255","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG2133471255","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG2133471255","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG-666409512","ERBB2","ENSG00000141736","Protein Expression","Positive","ERBB2 Protein Expression Positive"
"BiomarkerKG1041310291","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG1041310291","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG1041310291","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG1810652996","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG553694292","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG553694292","AKT1","ENSG00000142208","Mutation","Postive","AKT1 Mutation Postive"
"BiomarkerKG553694292","AKT2","ENSG00000105221","Mutation","Positive","AKT2 Mutation Positive"
"BiomarkerKG553694292","AKT3","ENSG00000117020","Mutation","Positive","AKT3 Mutation Positive"
"BiomarkerKG1069686944","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG1069686944","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG1069686944","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG453408706","ERBB2","ENSG00000141736","Protein Expression/Protein Expression & Amplification","Positive","ERBB2 Protein Expression/Protein Expression & Amplification Positive"
"BiomarkerKG453408706","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG453408706","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG-1961479280","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG-1103811937","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-1103811937","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG-1103811937","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG1622022418","ERBB2","ENSG00000141736","Protein Expression","Positive/Negative","ERBB2 Protein Expression Positive/Negative"
"BiomarkerKG1622022418","ESR1","ENSG00000091831","Protein Expression","Positive/Negative","ESR1 Protein Expression Positive/Negative"
"BiomarkerKG1622022418","PGR","ENSG00000082175","Protein Expression","Positive/Negative","PGR Protein Expression Positive/Negative"
"BiomarkerKG1353225719","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG1353225719","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG1353225719","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG-729491284","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-729491284","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG-729491284","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG-729491284","Fralpha","NA","Protein Expression","Positive","Fralpha Protein Expression Positive"
"BiomarkerKG450384206","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG450384206","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG450384206","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG-1614818793","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-1614818793","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG-1614818793","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG1086102404","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG1086102404","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG1086102404","PGR","ENSG00000082175","Protein Expression","Positive","PGR Protein Expression Positive"
"BiomarkerKG-1112433816","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-1112433816","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG-1112433816","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG1596444665","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG1596444665","ESR1","ENSG00000091831","Protein Expression","Postitive","ESR1 Protein Expression Postitive"
"BiomarkerKG854764279","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG854764279","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG854764279","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG854764279","BRCA1","ENSG00000012048","Mutation","Positive","BRCA1 Mutation Positive"
"BiomarkerKG854764279","BRCA2","ENSG00000139618","Mutation","Positive","BRCA2 Mutation Positive"
"BiomarkerKG2123553173","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG2123553173","ESR1","ENSG00000091831","Protein Expression","Positive/Negative","ESR1 Protein Expression Positive/Negative"
"BiomarkerKG2123553173","PGR","ENSG00000082175","Protein Expression","Positive/Negative","PGR Protein Expression Positive/Negative"
"BiomarkerKG2129852658","ERBB2","ENSG00000141736","Protein Expression/Protein Expression & Amplification","Positive","ERBB2 Protein Expression/Protein Expression & Amplification Positive"
"BiomarkerKG-1911759364","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-1911759364","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG-1911759364","PGR","ENSG00000082175","Protein Expression","Positive","PGR Protein Expression Positive"
"BiomarkerKG-2114519494","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-2114519494","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG-2114519494","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG-2114519494","AR","ENSG00000169083","Protein Expression","Positive","AR Protein Expression Positive"
"BiomarkerKG-2029749690","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-2029749690","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG-2029749690","PGR","ENSG00000082175","Protein Expression","Positive","PGR Protein Expression Positive"
"BiomarkerKG692580012","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG692580012","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG692580012","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG692580012","Fralpha","NA","Protein Expression","Positive/Negative","Fralpha Protein Expression Positive/Negative"
"BiomarkerKG-2000618498","BRCA1","ENSG00000012048","Mutation","Positive","BRCA1 Mutation Positive"
"BiomarkerKG-2000618498","BRCA2","ENSG00000139618","Mutation","Positive","BRCA2 Mutation Positive"
"BiomarkerKG-1661691532","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-1661691532","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG-1661691532","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG1044190964","ERBB2","ENSG00000141736","Protein Expression","Positive","ERBB2 Protein Expression Positive"
"BiomarkerKG1044190964","ESR1","ENSG00000091831","Protein Expression","Positive/Negative","ESR1 Protein Expression Positive/Negative"
"BiomarkerKG1044190964","PGR","ENSG00000082175","Protein Expression","Positive/Negative","PGR Protein Expression Positive/Negative"
"BiomarkerKG-2074888963","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-2074888963","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG-2074888963","PGR","ENSG00000082175","Protein Expression","Positive","PGR Protein Expression Positive"
"BiomarkerKG1851469276","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-988190666","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-988190666","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG-988190666","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG-1951859245","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-1951859245","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG-1951859245","PGR","ENSG00000082175","Protein Expression","Positive","PGR Protein Expression Positive"
"BiomarkerKG1629334512","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG1629334512","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG1629334512","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG1629334512","AR","ENSG00000169083","Protein Expression","Positive","AR Protein Expression Positive"
"BiomarkerKG2064884861","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG2064884861","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG2064884861","PGR","ENSG00000082175","Protein Expression","Positive","PGR Protein Expression Positive"
"BiomarkerKG-506583395","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG1066903332","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG1066903332","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG1066903332","PGR","ENSG00000082175","Protein Expression","Positive","PGR Protein Expression Positive"
"BiomarkerKG743549424","ERBB2","ENSG00000141736","Protein Expression/Protein Expression & Amplification","Positive","ERBB2 Protein Expression/Protein Expression & Amplification Positive"
"BiomarkerKG743549424","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG743549424","PGR","ENSG00000082175","Protein Expression","Positive","PGR Protein Expression Positive"
"BiomarkerKG-909189755","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-909189755","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG-909189755","Ki67","ENSG00000148773","Protein Expression","Negative","Ki67 Protein Expression Negative"
"BiomarkerKG-1481626248","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-1481626248","ESR1","ENSG00000091831","Protein Expression","Postitive","ESR1 Protein Expression Postitive"
"BiomarkerKG-2093307115","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-2093307115","ESR1","ENSG00000091831","Protein Expression","Positive","ESR1 Protein Expression Positive"
"BiomarkerKG-2093307115","PGR","ENSG00000082175","Protein Expression","Positive","PGR Protein Expression Positive"
"BiomarkerKG-949181766","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-949181766","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG-949181766","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG-1800969398","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-1800969398","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG-1800969398","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG-678626156","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-678626156","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG-678626156","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG794682439","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG794682439","ESR1","ENSG00000091831","Protein Expression","Postitive","ESR1 Protein Expression Postitive"
"BiomarkerKG-567531731","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-567531731","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
"BiomarkerKG-567531731","PGR","ENSG00000082175","Protein Expression","Negative","PGR Protein Expression Negative"
"BiomarkerKG-567531731","BRCA1","ENSG00000012048","Mutation","Positive/Negative","BRCA1 Mutation Positive/Negative"
"BiomarkerKG-567531731","BRCA2","ENSG00000139618","Mutation","Positive/Negative","BRCA2 Mutation Positive/Negative"
"BiomarkerKG357861401","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG357861401","ESR1","ENSG00000091831","Protein Expression","Postitive","ESR1 Protein Expression Postitive"
"BiomarkerKG-27275931","ERBB2","ENSG00000141736","Protein Expression","Negative","ERBB2 Protein Expression Negative"
"BiomarkerKG-27275931","ESR1","ENSG00000091831","Protein Expression","Negative","ESR1 Protein Expression Negative"
