"","empirical"
"246","ENSG00000039537"
"247","ENSG00000039650"
"248","ENSG00000040199"
"249","ENSG00000040487"
"250","ENSG00000040531"
"251","ENSG00000040933"
"252","ENSG00000041515"
"253","ENSG00000041988"
"254","ENSG00000042317"
"255","ENSG00000042429"
"256","ENSG00000042445"
"257","ENSG00000042980"
"258","ENSG00000043039"
"259","ENSG00000043143"
"260","ENSG00000043462"
"261","ENSG00000043514"
"262","ENSG00000043591"
"263","ENSG00000044090"
"264","ENSG00000044459"
"265","ENSG00000044524"
"266","ENSG00000046647"
"267","ENSG00000046774"
"268","ENSG00000047056"
"269","ENSG00000047188"
"270","ENSG00000047346"
"271","ENSG00000047365"
"272","ENSG00000047457"
"273","ENSG00000047578"
"274","ENSG00000047617"
"275","ENSG00000047644"
"276","ENSG00000047849"
"277","ENSG00000047932"
"278","ENSG00000048028"
"279","ENSG00000048052"
"280","ENSG00000048162"
"281","ENSG00000048342"
"282","ENSG00000048405"
"283","ENSG00000048462"
"284","ENSG00000048471"
"285","ENSG00000048540"
"286","ENSG00000048707"
"287","ENSG00000049089"
"288","ENSG00000049192"
"289","ENSG00000049245"
"290","ENSG00000049246"
"291","ENSG00000049449"
"292","ENSG00000049540"
"293","ENSG00000049618"
"294","ENSG00000049759"
"295","ENSG00000049769"
"296","ENSG00000049883"
"297","ENSG00000050030"
"298","ENSG00000050165"
"299","ENSG00000050327"
"300","ENSG00000050405"
"301","ENSG00000050628"
"302","ENSG00000050820"
"303","ENSG00000051108"
"304","ENSG00000051128"
"305","ENSG00000051523"
"306","ENSG00000052126"
"307","ENSG00000052795"
"308","ENSG00000052841"
"309","ENSG00000053501"
"310","ENSG00000053524"
"311","ENSG00000053918"
"312","ENSG00000054148"
"313","ENSG00000054179"
"314","ENSG00000054219"
"315","ENSG00000054267"
"316","ENSG00000054282"
"317","ENSG00000054356"
"318","ENSG00000054523"
"319","ENSG00000054598"
"320","ENSG00000054611"
"321","ENSG00000054938"
"322","ENSG00000054965"
"323","ENSG00000054967"
"324","ENSG00000054983"
"325","ENSG00000055130"
"326","ENSG00000055208"
"327","ENSG00000055211"
"328","ENSG00000055609"
"329","ENSG00000055950"
"330","ENSG00000056097"
"331","ENSG00000056277"
"332","ENSG00000056291"
"333","ENSG00000056487"
"334","ENSG00000056586"
"335","ENSG00000056736"
"336","ENSG00000056972"
"337","ENSG00000057019"
"338","ENSG00000057149"
"339","ENSG00000057294"
"340","ENSG00000057657"
"341","ENSG00000057704"
"342","ENSG00000057757"
"343","ENSG00000058056"
"344","ENSG00000058063"
"345","ENSG00000058085"
"346","ENSG00000058091"
"347","ENSG00000058404"
"348","ENSG00000058600"
"349","ENSG00000058668"
"350","ENSG00000058673"
"351","ENSG00000059377"
"352","ENSG00000059588"
"353","ENSG00000059691"
"354","ENSG00000059728"
"355","ENSG00000059758"
"356","ENSG00000059769"
"357","ENSG00000059915"
"358","ENSG00000060069"
"359","ENSG00000060140"
"360","ENSG00000060339"
"361","ENSG00000060491"
"362","ENSG00000060558"
"363","ENSG00000060642"
"364","ENSG00000060656"
"365","ENSG00000060709"
"366","ENSG00000060762"
"367","ENSG00000060971"
"368","ENSG00000061337"
"369","ENSG00000061455"
"370","ENSG00000061656"
"371","ENSG00000061918"
"372","ENSG00000062038"
"373","ENSG00000062370"
"374","ENSG00000062485"
"375","ENSG00000062582"
"376","ENSG00000062598"
"377","ENSG00000062716"
"378","ENSG00000062725"
"379","ENSG00000062822"
"380","ENSG00000063046"
"381","ENSG00000063177"
"382","ENSG00000063180"
"383","ENSG00000063244"
"384","ENSG00000063245"
"385","ENSG00000063438"
"386","ENSG00000063587"
"387","ENSG00000063601"
"388","ENSG00000063660"
"389","ENSG00000063761"
"390","ENSG00000064012"
"391","ENSG00000064042"
"392","ENSG00000064218"
"393","ENSG00000064225"
"394","ENSG00000064309"
"395","ENSG00000064393"
"396","ENSG00000064545"
"397","ENSG00000064651"
"398","ENSG00000064655"
"399","ENSG00000064666"
"400","ENSG00000064692"
"401","ENSG00000064703"
"402","ENSG00000064886"
"403","ENSG00000064933"
"404","ENSG00000064961"
"405","ENSG00000064989"
"406","ENSG00000065000"
"407","ENSG00000065054"
"408","ENSG00000065150"
"409","ENSG00000065243"
"410","ENSG00000065268"
"411","ENSG00000065308"
"412","ENSG00000065320"
"413","ENSG00000065371"
"414","ENSG00000065413"
"415","ENSG00000065491"
"416","ENSG00000065559"
"417","ENSG00000065609"
"418","ENSG00000065613"
"419","ENSG00000065615"
"420","ENSG00000065621"
"421","ENSG00000065665"
"422","ENSG00000065675"
"423","ENSG00000065833"
"424","ENSG00000065882"
"425","ENSG00000065883"
"426","ENSG00000065970"
"427","ENSG00000065978"
"428","ENSG00000065989"
"429","ENSG00000066117"
"430","ENSG00000066136"
"431","ENSG00000066248"
"432","ENSG00000066322"
"433","ENSG00000066336"
"434","ENSG00000066382"
"435","ENSG00000066422"
"436","ENSG00000066468"
"437","ENSG00000066557"
"438","ENSG00000066629"
"439","ENSG00000066827"
"440","ENSG00000066923"
"441","ENSG00000066933"
"442","ENSG00000067057"
"443","ENSG00000067066"
"444","ENSG00000067141"
"445","ENSG00000067208"
"446","ENSG00000067221"
"447","ENSG00000067369"
"448","ENSG00000067601"
"449","ENSG00000067798"
"450","ENSG00000067829"
"451","ENSG00000067900"
"452","ENSG00000067955"
"453","ENSG00000068120"
"454","ENSG00000068305"
"455","ENSG00000068308"
"456","ENSG00000068354"
"457","ENSG00000068366"
"458","ENSG00000068650"
"459","ENSG00000068724"
"460","ENSG00000068781"
"461","ENSG00000068885"
"462","ENSG00000069020"
"463","ENSG00000069188"
"464","ENSG00000069399"
"465","ENSG00000069424"
"466","ENSG00000069482"
"467","ENSG00000069493"
"468","ENSG00000069535"
"469","ENSG00000069696"
"470","ENSG00000069712"
"471","ENSG00000069849"
"472","ENSG00000069869"
"473","ENSG00000069943"
"474","ENSG00000069974"
"475","ENSG00000069998"
"476","ENSG00000070010"
"477","ENSG00000070018"
"478","ENSG00000070047"
"479","ENSG00000070061"
"480","ENSG00000070159"
"481","ENSG00000070190"
"482","ENSG00000070193"
"483","ENSG00000070269"
"484","ENSG00000070366"
"485","ENSG00000070413"
"486","ENSG00000070495"
"487","ENSG00000070526"
"488","ENSG00000070540"
"489","ENSG00000070601"
"490","ENSG00000070614"
"491","ENSG00000070669"
"492","ENSG00000070718"
"493","ENSG00000070731"
"494","ENSG00000070759"
"495","ENSG00000070761"
"496","ENSG00000070770"
"497","ENSG00000070785"
"498","ENSG00000070808"
"499","ENSG00000070814"
"500","ENSG00000070882"
"501","ENSG00000070915"
"502","ENSG00000070950"
"503","ENSG00000070961"
"504","ENSG00000071051"
"505","ENSG00000071054"
"506","ENSG00000071082"
"507","ENSG00000071127"
"508","ENSG00000071189"
"509","ENSG00000071246"
"510","ENSG00000071282"
"511","ENSG00000071564"
"512","ENSG00000071575"
"513","ENSG00000071626"
"514","ENSG00000071655"
"515","ENSG00000071859"
"516","ENSG00000071889"
"517","ENSG00000071967"
"518","ENSG00000071991"
"519","ENSG00000071994"
"520","ENSG00000072041"
"521","ENSG00000072071"
"522","ENSG00000072110"
"523","ENSG00000072121"
"524","ENSG00000072133"
"525","ENSG00000072134"
"526","ENSG00000072135"
"527","ENSG00000072201"
"528","ENSG00000072210"
"529","ENSG00000072310"
"530","ENSG00000072364"
"531","ENSG00000072415"
"532","ENSG00000072422"
"533","ENSG00000072609"
"534","ENSG00000072694"
"535","ENSG00000072786"
"536","ENSG00000072818"
"537","ENSG00000072832"
"538","ENSG00000072840"
"539","ENSG00000072849"
"540","ENSG00000072954"
"541","ENSG00000072958"
"542","ENSG00000073008"
"543","ENSG00000073060"
"544","ENSG00000073146"
"545","ENSG00000073150"
"546","ENSG00000073464"
"547","ENSG00000073536"
"548","ENSG00000073578"
"549","ENSG00000073614"
"550","ENSG00000073711"
"551","ENSG00000073737"
"552","ENSG00000073756"
"553","ENSG00000073792"
"554","ENSG00000073849"
"555","ENSG00000073861"
"556","ENSG00000073910"
"557","ENSG00000073921"
"558","ENSG00000074054"
"559","ENSG00000074181"
"560","ENSG00000074219"
"561","ENSG00000074266"
"562","ENSG00000074370"
"563","ENSG00000074527"
"564","ENSG00000074590"
"565","ENSG00000074603"
"566","ENSG00000074621"
"567","ENSG00000074657"
"568","ENSG00000074706"
"569","ENSG00000074800"
"570","ENSG00000074803"
"571","ENSG00000075035"
"572","ENSG00000075073"
"573","ENSG00000075142"
"574","ENSG00000075151"
"575","ENSG00000075223"
"576","ENSG00000075239"
"577","ENSG00000075240"
"578","ENSG00000075292"
"579","ENSG00000075336"
"580","ENSG00000075340"
"581","ENSG00000075391"
"582","ENSG00000075413"
"583","ENSG00000075415"
"584","ENSG00000075420"
"585","ENSG00000075426"
"586","ENSG00000075539"
"587","ENSG00000075568"
"588","ENSG00000075618"
"589","ENSG00000075624"
"590","ENSG00000075643"
"591","ENSG00000075651"
"592","ENSG00000075673"
"593","ENSG00000075856"
"594","ENSG00000075884"
"595","ENSG00000075914"
"596","ENSG00000076043"
"597","ENSG00000076053"
"598","ENSG00000076108"
"599","ENSG00000076201"
"600","ENSG00000076258"
"601","ENSG00000076321"
"602","ENSG00000076344"
"603","ENSG00000076351"
"604","ENSG00000076356"
"605","ENSG00000076604"
"606","ENSG00000076641"
"607","ENSG00000076650"
"608","ENSG00000076685"
"609","ENSG00000076770"
"610","ENSG00000076826"
"611","ENSG00000076864"
"612","ENSG00000076924"
"613","ENSG00000077044"
"614","ENSG00000077092"
"615","ENSG00000077150"
"616","ENSG00000077254"
"617","ENSG00000077274"
"618","ENSG00000077279"
"619","ENSG00000077312"
"620","ENSG00000077327"
"621","ENSG00000077420"
"622","ENSG00000077463"
"623","ENSG00000077522"
"624","ENSG00000077713"
"625","ENSG00000077943"
"626","ENSG00000077984"
"627","ENSG00000078018"
"628","ENSG00000078043"
"629","ENSG00000078053"
"630","ENSG00000078061"
"631","ENSG00000078070"
"632","ENSG00000078124"
"633","ENSG00000078142"
"634","ENSG00000078177"
"635","ENSG00000078246"
"636","ENSG00000078269"
"637","ENSG00000078295"
"638","ENSG00000078487"
"639","ENSG00000078687"
"640","ENSG00000078699"
"641","ENSG00000078725"
"642","ENSG00000078747"
"643","ENSG00000078808"
"644","ENSG00000078900"
"645","ENSG00000078902"
"646","ENSG00000079150"
"647","ENSG00000079257"
