"","pert_iname","mean","n","median","sd","sRGES"
"1776","BRD-K41220170",-0.560926591918765,1,-0.560926591918765,NA,-0.560926591918765
"1777","BRD-K92158425",-0.560852927981028,9,-0.514869980409307,0.132882768294873,-0.560852927981028
"1778","BRD-K94217081",-0.560442369275434,2,-0.560442369275434,0.155688814126281,-0.560442369275434
"1779","rottlerin",-0.560379678518722,66,-0.618945899957734,0.300232911497671,-0.560379678518722
"1780","BRD-K63424643",-0.560324841127442,1,-0.560324841127442,NA,-0.560324841127442
"1781","BRD-K61929092",-0.560313088312643,1,-0.560313088312643,NA,-0.560313088312643
"1782","BRD-K00398667",-0.560301335497844,1,-0.560301335497844,NA,-0.560301335497844
"1783","BRD-K31830316",-0.560283706275645,1,-0.560283706275645,NA,-0.560283706275645
"1784","BRD-K25159388",-0.560148548905455,1,-0.560148548905455,NA,-0.560148548905455
"1785","BRD-K66809950",-0.560148548905455,1,-0.560148548905455,NA,-0.560148548905455
"1786","BRD-K97924168",-0.560054526387062,2,-0.560054526387062,0.104546027634708,-0.560054526387062
"1787","BRD-K37127287",-0.559960503868669,1,-0.559960503868669,NA,-0.559960503868669
"1788","BRD-K83720640",-0.559708407659628,4,-0.55819288385968,0.123500418036578,-0.559708407659628
"1789","BRD-K18323006",-0.559678436313489,1,-0.559678436313489,NA,-0.559678436313489
"1790","BRD-K78217164",-0.55966668349869,1,-0.55966668349869,NA,-0.55966668349869
"1791","BRD-K61484514",-0.559631425054293,2,-0.559631425054293,0.164165519069637,-0.559631425054293
"1792","BRD-K44242139",-0.559497767743735,11,-0.592506405284065,0.25727962755448,-0.559497767743735
"1793","BRD-M92802283",-0.559495824079257,1,-0.559495824079257,NA,-0.559495824079257
"1794","BRD-K10558099",-0.558949761795942,2,-0.558949761795942,0.106972692187119,-0.558949761795942
"1795","BRD-K37848804",-0.558938008981143,1,-0.558938008981143,NA,-0.558938008981143
"1796","BRD-K81524996",-0.558919206702,3,-0.560221423030816,0.0925132792852197,-0.558919206702
"1797","BRD-K66805710",-0.558834456626861,4,-0.571337982471301,0.0633700287775177,-0.558834456626861
"1798","BRD-K56370195",-0.55870295268516,1,-0.55870295268516,NA,-0.55870295268516
"1799","BRD-K33452357",-0.558680232801084,3,-0.490010107420727,0.267541192019369,-0.558680232801084
"1800","BRD-K77681376",-0.558524564782487,9,-0.505808560199166,0.13022722563852,-0.558524564782487
"1801","CD-437",-0.558502419729955,67,-0.561223081977132,0.250221495153329,-0.558502419729955
"1802","BRD-K00150267",-0.55839421949426,2,-0.55839421949426,0.526548496969577,-0.55839421949426
"1803","BRD-K35535652",-0.558362121055985,1,-0.558362121055985,NA,-0.558362121055985
"1804","BRD-K91924645",-0.558300418778289,2,-0.558300418778289,0.184430661230784,-0.558300418778289
"1805","BRD-K88306467",-0.558138817574801,1,-0.558138817574801,NA,-0.558138817574801
"1806","CD-1530",-0.557987821941562,44,-0.599419730074352,0.211632878390935,-0.557987821941562
"1807","BRD-K14078057",-0.557915514093617,1,-0.557915514093617,NA,-0.557915514093617
"1808","BRD-K40692824",-0.557909637686218,1,-0.557909637686218,NA,-0.557909637686218
"1809","BRD-K41763142",-0.557903761278819,2,-0.557903761278819,0.0466551191686212,-0.557903761278819
"1810","BRD-K88269272",-0.5578418371987,2,-0.5578418371987,0.316243109423955,-0.5578418371987
"1811","BRD-K90947049",-0.557580558871842,1,-0.557580558871842,NA,-0.557580558871842
"1812","BRD-K83533725",-0.557480659946049,1,-0.557480659946049,NA,-0.557480659946049
"1813","BRD-K94646939",-0.557462808921428,2,-0.557462808921428,0.118066889392868,-0.557462808921428
"1814","BRD-K74566474",-0.557403823045009,1,-0.557403823045009,NA,-0.557403823045009
"1815","BRD-K29286627",-0.557348218977136,2,-0.557348218977136,0.0253514788031554,-0.557348218977136
"1816","BRD-K43031910",-0.55733374976106,1,-0.55733374976106,NA,-0.55733374976106
"1817","narciclasine",-0.557287333668546,74,-0.561434632643517,0.178300308451633,-0.557287333668546
"1818","BRD-K81674214",-0.556945463267842,1,-0.556945463267842,NA,-0.556945463267842
"1819","BRD-K33544525",-0.556881266391293,1,-0.556881266391293,NA,-0.556881266391293
"1820","BRD-K34604832",-0.556199603132942,1,-0.556199603132942,NA,-0.556199603132942
"1821","BRD-K45231555",-0.556170221095945,2,-0.556170221095945,0.101795253775639,-0.556170221095945
"1822","BRD-K28162668",-0.556169777491099,1,-0.556169777491099,NA,-0.556169777491099
"1823","SA-25547",-0.555978253498964,15,-0.584937592553416,0.154420200697295,-0.555978253498964
"1824","BRD-K99582188",-0.555894554773868,7,-0.628566710776229,0.189235583000136,-0.555894554773868
